,Order,SubjectID,ServerTimestamp,AssignmentID,ProblemID,Attempt,CodeStateID,Score,Code,Between,N Way,2xN,Other,OtherReason
24,59672,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:24 PM,439,233,1,8dbfba460b87ed76130cc4cc21d887083eb4e461,1,"public boolean love6(int a, int b)
{
    if (a == 6 || b == 6)
        return true;
    return ((a + b) == 6 || Math.abs(a - b) == 6);
}
",0,0,0,0,
25,65362,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:22 PM,439,5,1,ad69800e3e2ddadfc28d63e79cde83a3506817e5,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
        return false;
    if(isMom)
        return true;
    return (!isMorning);
}
",0,0,0,0,
26,68647,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:11 PM,439,235,1,2d9094473e9b7e7eb34618ef93bd26bb7bb4950a,1,"public int dateFashion(int you, int date)
{
    if(you <= 2 || date <= 2)
        return 0;
    if(you >= 8 || date >= 8)
        return 2;
    return 1;
}
",0,0,0,0,
27,76721,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:20 PM,439,236,1,ac1f4b99f665e77671e3c692e7e37521e759a418,1,"public int greenTicket(int a, int b, int c)
{
    if(a == b)
    {
        if(b == c)
            return 20;
        return 10;
    }
    if(a == c || b ==c)
        return 10;
    return 0;
}
",0,0,0,0,
28,119418,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:25 PM,439,1,1,af71b823b32f3814b330636231bcce1001f59ef8,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if(sum >= 10 && sum <= 19)
        return 20;
    return sum;
}
",0,0,0,0,
29,134093,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:26 PM,439,3,1,f89577186d1477fd4228f71b90f2a6c865ac5790,1,"public boolean in1To10(int n, boolean outsideMode)
{
    if(outsideMode)
        return (n<= 1 || n>= 10);
    return (n >=1 && n <= 10);
}
",0,0,0,0,
30,9703,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 08:42 PM,439,234,1,a79fa1c6e95416da7cf32d145f25ecf838cee140,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (isWeekend)
    {
        if ( cigars >= 40)
            return true;
    }
    
    else if (cigars >= 40 && cigars <= 60)
        return true;
    
    else
        return false;
}
",0,0,1,0,
31,24308,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 08:20 PM,439,13,5,e0953c2b8566c2697927cce8da12659015ea25ba,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
      
    if (isBirthday)
    
        speed -= 5;
    
      
    if (speed <= 60)
    
        return 0;
    
    else if (speed >= 61 && speed <= 80)
    
        return 1;
    
    else
    
        return 2;
   
    
}",0,0,0,0,
32,36953,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:42 PM,439,12,1,8ed44fa647624ad71ffb2e811bbfe73b08856591,0,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if (isSummer)
    {
        if ( temp >= 60 && temp <= 100)
        {
            return true;
        }
        else
            return false;
    }
    
}
",0,0,1,0,
33,39880,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 08:27 PM,439,232,2,cebb9a176464031d2b86eace196a5017c04a2eeb,1,"public String alarmClock(int day, boolean vacation)
{
    if (vacation)
    {
        if (day == 0 || day == 6)
            return ""off"";
            else 
                return ""10:00"";
                
    }
    else
    {
        if (day == 0 || day == 6)
            return ""10:00"";
            else
                return ""7:00"";
    }
   
    
}
",0,0,0,0,
34,59466,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:22 PM,439,233,1,032f1a592ef44187c6292a9ce2e34bd9928594f7,0,"public boolean love6(int a, int b)
{
    if (a == Math.abs(6) || b == Math.abs(6))
    {
        return true;
    }
    
    else if ( a + b = Math.abs(6) || a - b = Math.abs(6))
    {
        return true;
    }
    
    else
    {
        return false;
    }
    
}
",0,0,0,1,Mathabs
35,65115,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:06 PM,439,5,4,5a1937261fa3222393a2f4cab1a53413605eb831,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep)
    {
        return false;
    }
    else if (isMom)
    {
        return true;
    }
    else if (isMorning)
    {
        return false;
    }
    
}
",0,1,0,0,
36,68318,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 08:36 PM,439,235,1,8b9144f93c9214b17e38444f2981e7182f1c8fb9,0,"public int dateFashion(int you, int date)
{
    if ( you <= 2 || date <= 2)
        return 0;
    if ( you >= 8 || date >= 8)
        return 2;
    else
        return 0;

}
",0,0,0,1,Typo
37,76470,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:00 PM,439,236,1,a8a22a9a1bd3b22feb2e886a03267bb53c143cbc,0,"public int greenTicket(int a, int b, int c)
{
    if ( a == b == c)
    {
        return 20;
    }
    
    else if ( a == b || b == c || a == c)
    {
        return 10;
    }
     
    else
    {
        return 0;
    }
    
}
",0,0,0,1,Three var comparison directly
38,119173,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:30 PM,439,1,1,c023f1f9a5235584cd82493f7fa98d74c83c75f1,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if (sum >= 10 && sum <= 19)
        return 20;
    else 
        return sum;
    
}
",0,0,0,0,
39,133797,a64a1476544db9bd76a6d1f024a3a8c6,02/22/19 09:32 PM,439,3,1,537735cb60062eb471c830b79517c44776ee13c5,0,"public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode)
        if ( n <= 1 || n >= 10)
            return true;
    else if ( n <= 10 && n >= 1)
            return true;
    else
        return false;
}
",0,0,1,0,
40,9642,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 06:43 AM,439,234,3,0f7d598f7d0b1073c13cfb753f68a7cefb22f0ec,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (!isWeekend)
    {
        if (cigars >= 40 && cigars <= 60)
            return true;
    }
    
   else if (isWeekend)
   {
       if (cigars >= 40)
           return true;
   }
    else 
        return false;
}
",0,0,1,0,
41,22134,8ae7398026ed8f2172aefd6cbc856bc8,02/21/19 07:51 AM,439,13,9,c3022c187c3bce413eacf429a5f383312d438abc,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if (speed <= 60)
    {
        return 0;
    }
    else if (speed >=61 && speed <= 80)
return 1;
    else 
        return 2;
    
    if (isBirthday)
    {
        speed == 5;
    }
}
",0,0,1,0,
42,36878,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 07:49 AM,439,12,6,96382d7a0952b9919b594af3a3ed851f800b97a7,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer && 60 <= temp && temp <= 100)
        return true;
          
    if(!isSummer && 60 <= temp && temp <= 90)
        return true;
                    
    return false;
}
",0,0,0,0,
43,39738,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 06:26 AM,439,232,6,b8afbfcaa8c8d18f27f01d96fbe0b12a3481af1b,1,"public String alarmClock(int day, boolean vacation)
{
    if(vacation) 
    {
        if(day == 0 || day == 6)
            return ""off"";
        else
            return ""10:00"";
    }
                          
    if(day == 0 || day == 6)
        return ""10:00"";
                                    
    return ""7:00"";
}
",0,0,0,0,
44,59375,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 07:07 AM,439,233,2,e407c63b5f73d146156a7df880bb175537c43408,0,"public boolean love6(int a, int b)
{
    if (a== 6 || b == 6)
        return true;
    else  if (Math.abs(6))
         return true;
         else 
             return false;
    
}
",0,1,0,0,
45,64989,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 06:57 AM,439,5,2,7510220ccb38603b4e62cd07e7847291b82f8100,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep)
        return false;
      else if (!isMorning)
        return true;
    else if (isMorning)
    {
        if (isMom)
            return true;
        else 
            return false;
    }

}
",0,1,0,0,
46,68159,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 06:35 AM,439,235,11,2a3151468cc8abcf39fc6c352794b2428bacc1bc,0,"public int dateFashion(int you, int date)
{
    if (you <= 2 || date <= 2)
        return ""0"";
}
",0,1,0,1,
47,76359,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 06:50 AM,439,236,2,f515e84fb122fa784468ddcfdd622c22aef4f1f6,0,"public int greenTicket(int a, int b, int c)
{
    if (a== b && b==c)
        return ""20"";
}
",0,1,0,1,
48,119130,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 07:31 AM,439,1,2,f75eef0e0e611c8447f88091d1b4c47c49d288d4,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if(sum >= 10 && sum < 20)
        return 20;
    return sum;
}
",0,0,0,0,
49,133717,8ae7398026ed8f2172aefd6cbc856bc8,02/22/19 07:40 AM,439,3,6,f5b8489e326a757ef39f6f70acefd02cd71ae77a,0,"public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode)
    {
    if (n == 10)
      return True;
    else
      return False;
          }
  else
  {
    if (n >=1 && n <=10)
      return True;
    else
      return False;
  }
}
",1,0,0,0,
50,10673,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:13 PM,439,234,1,e13634493f7a013b479ebce68a7e3db687aac7c0,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (cigars <= 60 && cigars >= 40)
    {
    return true;
    }
    if (isWeekend && cigars >= 40)
    {
    return true;
    }
    if (cigars <= 40);
    {
    return false;
    }
}
",0,0,0,0,
51,27317,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 06:31 AM,439,13,2,3c6955f3ee57682ce96f5b1dfc2e64935902ef91,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
   int noticket = 0;
   int smallticket = 1;
   int bigticket = 2;
   int result = 0;
   if (speed <= 60)
   {
    int result = 0;
   }
   

}
",1,0,1,0,
52,37396,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:43 PM,439,12,1,5e6a3a4cf0e7f5c5c16e71c40f3cbf811032930c,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if (temp >= 60 && temp <= 90 && !isSummer)
    {
    return true;
    }
    else if (temp >= 60 && temp <= 100 && isSummer)
    {
    return true;
    }
    else
    {
        return false;
    }
}
",0,0,0,0,
53,42240,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 03:54 PM,439,232,4,d82b4b7d206e7f797809eaa652ee519dd2d0840a,0,"public String alarmClock(int day, boolean vacation)
{
    String alarm = ""off"";
    if (day <= 5 && !vacation)
    {
    alarm = ""7:00"";
    }
    if (day >= 6 && !vacation)
    {
    alarm = ""10:00"";
    }
    if (day <= 5 && vacation)
    {
    alarm = ""10:00"";
    }
    if (day >= 6 && vacation)
    {
    alarm = ""off"";
    }
}
",1,0,1,1,Misisng return
54,60164,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:32 PM,439,233,1,c2659935990c7b5b7f7ceb7b57447937589556e8,0,"public boolean love6(int a, int b)
{
    if (a = 6 || b = 6)
    {
    return true;
    }
    else if (a + b = 6 || a - b = 6)
    {
    return true;
    }
    else
    {
    return false;
    }
}
",0,0,0,1,"Equality and assignment, mathabs"
55,65838,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:26 PM,439,5,1,6e0a00f9cf648ef3bf6a7ca348ed4a91a8a89e23,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (!isMorning && !isMom && !isAsleep)
    {
        return true;
    }
    if (isMorning && isMom)
    {
    return true;
    }
    else
    {
    return false;
    }
    if (isAsleep)
    {
    return false;
    }
}
",0,1,0,0,
56,69122,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:07 PM,439,235,2,27e085f9778444fc94df5e4383e97a87b10d7111,0,"public int dateFashion(int you, int date)
{
    int no = 0;
    int maybe = 1;
    int yes = 2;
    int result = 0;
    if (you >= 8 || date >= 8)
    {
    result =  2;
    }
    else if (you <= 2 || date <= 2)
    {
    result = 0;
    }
    else
    {
    result = 1; 
    }
    return result;
}
",0,1,0,0,
57,77256,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:18 PM,439,236,1,74e1fad796688016fac31d1d4419811da9e349d6,0,"public int greenTicket(int a, int b, int c)
{
    int result = 0;
    if (a = b && b = c && c = a)
    {
    result = 20;
    }
    else if ( a = b || b = c || a = c)
    {
    result = 10; 
    }
    else
    {
    result = 0;
    }
    return result;
}
",0,0,0,1,Equality and assignment
58,119744,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:36 PM,439,1,1,3b6e84d60b6d04c5c5af332981391c9a42c000f7,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if (sum < 10)
    {
    return sum;
    }
    else if (sum > 19)
    {
    return sum;
    }
    else
    {
    return 20;
    }
}
",0,0,0,0,
59,134503,11d8ffa1c1cb79e22b6d94667d3847d9,02/24/19 04:38 PM,439,3,1,bd9842fa74a4999319c411a63ea0b765826626f1,0,"public boolean in1To10(int n, boolean outsideMode)
{
    if ( n >= 1 && n <= 10 && !outsideMode)
    {
    return true;
    }
    else
    {
    return false;
    }
    if ( n <= 1 && n >= 10 && outsideMode)
    {
    return true;
    }
    else
    {
    return false;
    }
}
",1,0,1,0,
60,9882,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:49 PM,439,234,2,e398d227a644aff061d31319aab4ad37c8897570,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if(isWeekend)
        if(cigars>=40)
            return true;
    else if (cigars>=40 && cigars <=60)
        return true;
    return(cigars>=40);
        
}
",0,0,1,0,
61,25117,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:16 PM,439,13,2,346e004b2f645af93be9a9725d0645df1ee66cfc,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
   if(isBirthday)
speed -= 5;
if(speed <= 60)
return 0;
else if(speed <= 80)
return 1;
else
return 2;  
    
        
}
",0,0,0,0,
62,37040,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:26 PM,439,12,1,cdf031b34bad4d1092150d9b2c87ac5dfa19a804,0,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer)
        if(temp>=60 && temp<=100)
            return true;
    else
        if(temp>=60 && temp<=90)
            return true;
    else return false;   
}
",0,0,1,0,
63,40172,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:21 PM,439,232,2,86fa3bedc4b0189ad5e4d5b463b09adf769d2ae4,1,"public String alarmClock(int day, boolean vacation)
{
    if(vacation)
{
if(day == 0 || day == 6)
return ""off"";
return ""10:00"";
}
else
{
if(day == 0 || day == 6)
return ""10:00"";
return ""7:00"";
}
}",0,0,0,0,
64,59590,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:36 PM,439,233,1,6cc6f2116ebd882c114f66d91237b224bdeb5f41,0,"public boolean love6(int a, int b)
{
    if (a=6 || b=6)
        return true;
    else
        return false;
}
",0,1,0,0,
65,65303,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:39 PM,439,5,1,17ca6a9eab3e1b4b979d49dbdfe3861001c1e2d2,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isMorning)
        if(isMom)
            return true;
    else if (isAsleep)
        return false;
    else
        return true;
}
",0,1,0,0,
66,68530,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:56 PM,439,235,1,a72a326de2bb51a171e305bd9d03cc965aa42b55,0,"public int dateFashion(int you, int date)
{
    if (you>=8 || date>=8)
        return 2;
    else if (you<=2 || date<=2)
        return 0;
   return 1;
    
}
",0,1,0,0,
67,76618,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:46 PM,439,236,1,534ae91f115368552481a9aaef0efd8fd371fdf5,0,"public int greenTicket(int a, int b, int c)
{
    if (a==b && b==c)
        return 20;
    else if (a==b || b==c || a=c)
        return 10;
    return 0;
}
",0,0,0,1,Equality and assignment
68,119319,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:35 PM,439,1,2,e975cb411a4c5d14b2ad08cf41894f38cbee60ee,1,"public int sortaSum(int a, int b)
{
    if ((a+b)>=10 && (a+b)<= 19)
        return 20;
    else
        return (a+b);
}
",0,0,0,0,
69,134008,7d95c1c55d84afc81845d9fb25c0cc0c,02/23/19 06:30 PM,439,3,2,c2f4317e13047861cb7bbd9c327e8b92af05f373,0,"public boolean in1To10(int n, boolean outsideMode)
{
    if(outsideMode)
        return (n<=1 || n>=10);
     return(n>1 && n<10);
}
",1,0,0,0,
70,9605,63ea3fef646010a7255aec506626ea32,02/21/19 09:50 PM,439,234,2,1b4b33eec439be689981d163a607c6a26444ef9d,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (isweekend == true)
    {
        if(cigars > 40)
        {
           return true; 
        }
        else
        {
           return false;
        }
    }
    else 
    {
      if (cigars < 40 || cigars > 60)
      {
          return false;
      }
      else
      {
         return true; 
      }
    }
}
",1,0,0,1,typo
71,23160,63ea3fef646010a7255aec506626ea32,02/21/19 08:36 PM,439,13,3,e9ac02c3e51abd629569b99cf507901bcdc024d3,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
   if (isBirthday == false)
       if (speed <= 60)
           return 0;
    if (61 <= speed <= 80)
            return 1;
    else
            return 2;
    if(isBirthday == True)
        if (speed <= 65)
            return 0;
    if (66 <= speed <= 85) 
            return 1;
    else 
            return 2;
}
",1,0,1,1,typo
72,36844,63ea3fef646010a7255aec506626ea32,02/21/19 10:22 PM,439,12,1,81fbfde57bedba51540b32198b8fbe372461d548,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if (isSummer == false)
    {
        if (temp >= 60 && temp <= 90)
        {
            return true;
        }
        else
        {
            return false;
        }
    }
    else
    {
       if (temp >= 60 && temp <= 100)
       {
           return true;
       }
        else
        {
            return false;
        }
    }
}
",0,0,0,0,
73,39581,63ea3fef646010a7255aec506626ea32,02/21/19 09:29 PM,439,232,2,6a70fa324e7229a50695fb6e8e34e402f0d9dea1,1,"public String alarmClock(int day, boolean vacation)
{
  if (vacation == false)
  {
      if (day == 0 || day == 6)
      {
          return ""10:00"";
      }
      else
      {
         return ""7:00""; 
      }
  }
  else
  {
     if (day == 0 || day == 6)
     {
         return ""off"";
     }
     else
     {
       return ""10:00"";  
     }
  }
}
",0,0,0,0,
74,59327,63ea3fef646010a7255aec506626ea32,02/21/19 10:12 PM,439,233,1,d08a60dae250ad8c89a040ab461e79d192cb9005,1,"public boolean love6(int a, int b)
{
   if (a == 6 || b == 6 || a + b == 6 || a - b == 6 || b - a == 6)
   {
       return true;
   }
    else
    {
        return false;
    }
}
",0,0,0,0,
75,64853,63ea3fef646010a7255aec506626ea32,02/21/19 10:09 PM,439,5,4,b56285c9b669dc25dfd5e359d58c9f0195a9650d,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep == false)
    {
        if (isMorning == true)
        {
            if (isMom == true)
            {
                return true;
            }
            else
            {
                return false;
            }
        }
      else 
       {
          return true;
    }
    }
   else
   {
      return false;
   }
        
}",0,0,0,0,
